episode,wall_clock_sec,episode_return,exploration_ratio,mean_abs_q_change,mean_abs_td_error,steps
62,0.10614299774169922,9.0,0.0,0.1426700043887731,1.4267000438877315,9
63,0.10614299774169922,9.0,0.2222222222222222,0.14418922038651275,1.441892203865129,9
64,0.10614299774169922,10.0,0.2,0.12537067118520975,1.2537067118520973,10
65,0.10614299774169922,10.0,0.1,0.11465927816753436,1.1465927816753436,10
66,0.10614299774169922,8.0,0.125,0.14539554264667337,1.4539554264667327,8
67,0.10614299774169922,10.0,0.2,0.11566880817563305,1.1566880817563305,10
68,0.10614299774169922,9.0,0.1111111111111111,0.13645880199821103,1.3645880199821108,9
69,0.10614299774169922,11.0,0.2727272727272727,0.1310336417634568,1.3103364176345684,11
70,0.10614299774169922,11.0,0.2727272727272727,0.1528815477339056,1.5288154773390568,11
71,0.10614299774169922,10.0,0.0,0.13107133480694327,1.310713348069432,10
72,0.10614299774169922,10.0,0.1,0.13137730156795452,1.3137730156795446,10
73,0.10614299774169922,11.0,0.0,0.1787151091557134,1.7871510915571343,11
74,0.10614299774169922,10.0,0.1,0.13720162054988866,1.3720162054988851,10
75,0.10614299774169922,10.0,0.0,0.11769142982712996,1.1769142982713003,10
76,0.10614299774169922,10.0,0.1,0.1184545174265053,1.1845451742650532,10
